Order ID,Customer Name,Mobile Number,Email ID,Order Date,Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility (%),Item Weight,Sales,Rating,Outlet Age,Sales per Weight,Visibility Bucket,Rating Bucket,Item Category,Payment Mode,Delivery Status,Discount %,Quantity,City
621097,Aarav Pillai,9399704694,aarav.pillai@gmail.com,2026-02-17,Low Fat,FDX21,Snack Foods,1998,OUT027,Tier 3,Medium,Hypermarket,8.46,12.99,109.8912,5.0,28,8.46,Medium,Good,Food,Wallet,Delivered,10,1,Indore
70816,Reyansh Pillai,9725878444,reyansh.pillai@gmail.com,2026-06-26,Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Neighborhood Supermarket,5.2,18.85,192.1846,5.0,9,10.2,Medium,Good,Non-Consumable,Cash on Delivery,Delivered,15,5,Lucknow
963893,Aadhya Nair,9835488471,aadhya.nair@yahoo.co.in,2026-05-14,Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Standard Supermarket,12.89,17.1,112.3886,5.0,4,6.57,Medium,Good,Food,Wallet,Delivered,10,1,Nagpur
542084,Kavya Menon,9270587722,kavya.menon@yahoo.co.in,2026-02-03,Low Fat,NCR54,Household,2000,OUT013,Tier 3,High,Neighborhood Supermarket,9.05,16.35,195.211,5.0,26,11.94,Medium,Good,Non-Consumable,Card,Delivered,20,2,Indore
235127,Krishna Sharma,9164175823,krishna.sharma@gmail.com,2026-02-02,Low Fat,FDH19,Meat,1998,OUT027,Tier 3,Medium,Hypermarket,3.29,12.82,173.1738,5.0,28,13.51,Low,Good,Food,Wallet,Returned,10,2,Nagpur
49317,Amit Patel,9133484587,amit.patel@yahoo.co.in,2026-02-18,Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Neighborhood Supermarket,1.88,20.25,222.1772,5.0,9,10.97,Low,Good,Food,Card,Delivered,5,2,Pune
100122,Nikhil Malhotra,9149392523,nikhil.malhotra@outlook.com,2026-03-22,Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Standard Supermarket,14.7,17.85,93.7436,5.0,4,5.25,Medium,Good,Food,Card,Delivered,0,3,Nagpur
464710,Ananya Iyer,9622925879,ananya.iyer@yahoo.co.in,2026-03-26,Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,7.76,19.2,197.611,5.0,14,10.29,Medium,Good,Non-Consumable,Card,Delivered,15,4,Mumbai
448485,Arjun Reddy,9643474524,arjun.reddy@outlook.com,2026-06-04,Low Fat,FDJ56,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Hypermarket,18.25,13.22,98.77,5.0,28,7.47,High,Good,Food,Wallet,Cancelled,10,4,Patna
83248,Amit Mehta,9555746966,amit.mehta@hotmail.com,2026-06-29,Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Standard Supermarket,1.69,12.1,178.566,5.0,4,14.76,Low,Good,Drinks,Cash on Delivery,Cancelled,0,1,Nagpur
262353,Vihaan Gupta,9060652740,vihaan.gupta@gmail.com,2026-02-01,Regular,FDZ07,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Hypermarket,7.37,13.22,60.2194,5.0,28,4.56,Medium,Good,Food,Wallet,Returned,15,4,Indore
105119,Saanvi Singh,9334450566,saanvi.singh@yahoo.co.in,2026-06-18,Low Fat,NCK31,Others,1998,OUT027,Tier 3,Medium,Hypermarket,2.69,13.85,50.9666,5.0,28,3.68,Low,Good,Non-Consumable,UPI,Delivered,10,1,Nagpur
587814,Diya Joshi,9588339874,diya.joshi@outlook.com,2026-03-17,Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Standard Supermarket,2.3,6.85,261.6594,5.0,4,38.2,Low,Good,Food,Cash on Delivery,Delivered,0,4,Nagpur
455140,Pari Iyer,9113257970,pari.iyer@hotmail.com,2026-07-11,Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Standard Supermarket,4.24,17.25,173.1764,5.0,4,10.04,Low,Good,Drinks,Cash on Delivery,Delivered,0,2,Nagpur
71981,Priya Verma,9673499601,priya.verma@hotmail.com,2026-07-24,Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Neighborhood Supermarket,6.54,16.0,76.1986,5.0,6,4.76,Medium,Good,Food,Wallet,Returned,10,1,Pune
877017,Rahul Kapoor,9054857417,rahul.kapoor@yahoo.co.in,2026-06-14,Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Neighborhood Supermarket,14.02,13.35,150.2392,5.0,6,11.25,Medium,Good,Food,Wallet,Delivered,15,4,Lucknow
602921,Riya Singh,9215622949,riya.singh@yahoo.co.in,2026-05-13,Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Neighborhood Supermarket,3.39,6.7,221.9456,5.0,9,33.13,Low,Good,Food,Card,Cancelled,0,3,Jaipur
139815,Divya Chopra,9381735984,divya.chopra@hotmail.com,2026-03-23,Regular,FDO19,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Hypermarket,1.65,13.22,47.4034,5.0,28,3.59,Low,Good,Food,UPI,Delivered,20,3,Nagpur
244083,Aditya Pillai,9884021557,aditya.pillai@gmail.com,2026-05-20,Low Fat,FDO04,Frozen Foods,2010,OUT046,Tier 1,Small,Neighborhood Supermarket,2.65,16.6,57.2614,5.0,16,3.45,Low,Good,Food,UPI,Returned,10,3,Delhi
671259,Ishaan Agarwal,9325737553,ishaan.agarwal@gmail.com,2026-06-25,Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,13.11,6.92,93.1804,5.0,14,13.47,Medium,Good,Food,Card,Delivered,0,4,Bangalore
667911,Sneha Joshi,9449021666,sneha.joshi@outlook.com,2026-04-07,Low Fat,NCJ30,Household,2010,OUT046,Tier 1,Small,Neighborhood Supermarket,8.06,5.82,167.779,5.0,16,28.83,Medium,Good,Non-Consumable,Cash on Delivery,Delivered,10,4,Mumbai
621316,Ira Reddy,9708085096,ira.reddy@gmail.com,2026-01-27,Low Fat,NCQ41,Health and Hygiene,2000,OUT013,Tier 3,High,Neighborhood Supermarket,1.95,14.8,196.3794,5.0,26,13.27,Low,Good,Non-Consumable,Cash on Delivery,Returned,20,4,Patna
74867,Nikhil Gupta,9085874951,nikhil.gupta@hotmail.com,2026-03-07,Low Fat,DRJ35,Hard Drinks,2000,OUT013,Tier 3,High,Neighborhood Supermarket,4.65,10.1,59.9878,5.0,26,5.94,Low,Good,Drinks,Wallet,Cancelled,0,2,Patna
615136,Vivaan Nair,9191818281,vivaan.nair@hotmail.com,2026-07-23,Low Fat,NCE31,Household,2000,OUT013,Tier 3,High,Neighborhood Supermarket,18.47,7.67,35.4216,5.0,26,4.62,High,Good,Non-Consumable,UPI,Delivered,0,4,Indore
623984,Amit Rao,9979316477,amit.rao@hotmail.com,2026-05-14,Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Neighborhood Supermarket,2.53,15.6,174.3054,5.0,6,11.17,Low,Good,Food,Cash on Delivery,Returned,10,2,Jaipur
425949,Aditya Nair,9251295786,aditya.nair@gmail.com,2026-04-23,Low Fat,FDZ04,Frozen Foods,2000,OUT013,Tier 3,High,Neighborhood Supermarket,3.79,9.31,61.651,5.0,26,6.62,Low,Good,Food,Wallet,Delivered,0,4,Indore
61998,Pooja Singh,9069409600,pooja.singh@outlook.com,2026-04-07,Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Neighborhood Supermarket,12.18,11.8,46.8402,5.0,11,3.97,Medium,Good,Food,Card,Delivered,20,2,Pune
241821,Saanvi Iyer,9356243958,saanvi.iyer@gmail.com,2026-03-06,Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Neighborhood Supermarket,3.8,13.15,88.6856,5.0,11,6.74,Low,Good,Food,Wallet,Delivered,10,4,Lucknow
58845,Kavya Joshi,9739592323,kavya.joshi@outlook.com,2026-03-22,Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,5.75,16.25,126.2046,5.0,14,7.77,Medium,Good,Food,Card,Cancelled,0,4,Bangalore
593705,Sai Joshi,9421089028,sai.joshi@gmail.com,2026-04-22,Regular,FDP51,Meat,2010,OUT046,Tier 1,Small,Neighborhood Supermarket,8.53,13.85,119.6124,5.0,16,8.64,Medium,Good,Food,UPI,Delivered,5,5,Mumbai
910169,Diya Reddy,9515533342,diya.reddy@hotmail.com,2026-02-21,Regular,FDT50,Dairy,2000,OUT013,Tier 3,High,Neighborhood Supermarket,10.81,6.75,95.6752,5.0,26,14.17,Medium,Good,Food,UPI,Delivered,15,3,Indore
149643,Karan Iyer,9643350271,karan.iyer@hotmail.com,2026-02-18,Regular,FDQ08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Hypermarket,1.88,13.22,62.9536,5.0,28,4.76,Low,Good,Food,Cash on Delivery,Delivered,0,1,Nagpur
313677,Nikhil Gupta,9607360776,nikhil.gupta@yahoo.co.in,2026-05-03,Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Neighborhood Supermarket,4.81,10.5,159.0946,5.0,11,15.15,Low,Good,Drinks,Wallet,Delivered,5,5,Lucknow
449499,Pari Patel,9336911289,pari.patel@gmail.com,2026-02-19,Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,17.46,9.3,104.2964,5.0,14,11.21,High,Good,Food,UPI,Delivered,20,5,Delhi
161262,Riya Nair,9812317955,riya.nair@gmail.com,2026-04-27,Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,10.6,20.75,150.5682,5.0,15,7.26,Medium,Good,Food,Cash on Delivery,Returned,10,5,Indore
576950,Sai Kapoor,9633185748,sai.kapoor@yahoo.co.in,2026-04-24,Low Fat,NCJ31,Others,2000,OUT013,Tier 3,High,Neighborhood Supermarket,18.25,19.2,239.2196,5.0,26,12.46,High,Good,Non-Consumable,Wallet,Cancelled,20,5,Nagpur
133514,Saanvi Iyer,9170066615,saanvi.iyer@hotmail.com,2026-06-29,Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Neighborhood Supermarket,4.89,18.1,127.3336,5.0,9,7.04,Low,Good,Non-Consumable,Wallet,Cancelled,10,4,Pune
608646,Divya Pillai,9541643167,divya.pillai@gmail.com,2026-04-03,Low Fat,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,1.37,17.5,256.3304,5.0,14,14.65,Low,Good,Food,Cash on Delivery,Cancelled,0,4,Delhi
333466,Ayaan Mehta,9045023290,ayaan.mehta@yahoo.co.in,2026-02-06,Low Fat,NCZ42,Household,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,1.13,10.5,235.5248,5.0,14,22.43,Low,Good,Non-Consumable,Wallet,Cancelled,0,3,Mumbai
597472,Neha Verma,9282270093,neha.verma@gmail.com,2026-05-23,Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,1.47,7.98,82.425,5.0,14,10.33,Low,Good,Food,UPI,Delivered,20,4,Mumbai
865770,Ayaan Verma,9459626228,ayaan.verma@outlook.com,2026-06-12,Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,2.59,10.0,264.6226,5.0,14,26.46,Low,Good,Food,Cash on Delivery,Returned,10,3,Delhi
725131,Priya Mehta,9225120734,priya.mehta@hotmail.com,2026-02-26,Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,2.42,10.1,114.915,5.0,14,11.38,Low,Good,Food,UPI,Delivered,15,5,Bangalore
199505,Saanvi Iyer,9654950050,saanvi.iyer@outlook.com,2026-05-02,Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,2.85,8.93,152.234,5.0,14,17.05,Low,Good,Drinks,Cash on Delivery,Cancelled,10,3,Bangalore
118061,Aditya Reddy,9702608698,aditya.reddy@hotmail.com,2026-02-15,Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,8.63,7.3,147.2076,5.0,14,20.17,Medium,Good,Food,Card,Delivered,10,3,Mumbai
619851,Divya Menon,9221053161,divya.menon@yahoo.co.in,2026-06-16,Low Fat,FDU04,Frozen Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,0.56,7.93,122.1414,5.0,14,15.4,Low,Good,Food,UPI,Delivered,10,2,Bangalore
608951,Sneha Mehta,9177687290,sneha.mehta@hotmail.com,2026-04-11,Low Fat,FDP04,Frozen Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,1.38,15.35,62.7168,5.0,14,4.09,Low,Good,Food,Card,Delivered,15,3,Mumbai
679949,Reyansh Bhatt,9477425859,reyansh.bhatt@hotmail.com,2026-07-05,Low Fat,FDD05,Frozen Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,1.66,19.35,120.9098,5.0,14,6.25,Low,Good,Food,Cash on Delivery,Delivered,5,5,Mumbai
206997,Saanvi Kapoor,9177932382,saanvi.kapoor@yahoo.co.in,2026-07-03,Low Fat,FDV07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,3.13,9.5,111.1228,5.0,14,11.7,Low,Good,Food,Wallet,Returned,20,3,Mumbai
400487,Arjun Iyer,9231164913,arjun.iyer@hotmail.com,2026-04-28,Low Fat,FDT20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,4.15,10.5,39.2164,5.0,14,3.73,Low,Good,Food,Card,Cancelled,0,2,Mumbai
112163,Arjun Nair,9342457988,arjun.nair@gmail.com,2026-06-22,Low Fat,FDC44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,7.37,15.6,111.9518,5.0,14,7.18,Medium,Good,Food,Cash on Delivery,Delivered,10,5,Delhi
584351,Rahul Pillai,9942565290,rahul.pillai@yahoo.co.in,2026-03-16,Low Fat,DRM59,Hard Drinks,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,0.36,5.88,153.8998,5.0,14,26.17,Low,Good,Drinks,Card,Cancelled,20,3,Bangalore
756702,Riya Iyer,9603202032,riya.iyer@yahoo.co.in,2026-07-25,Low Fat,DRG23,Hard Drinks,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,8.69,8.88,153.3682,5.0,14,17.27,Medium,Good,Drinks,UPI,Delivered,0,2,Mumbai
75839,Rahul Menon,9650977539,rahul.menon@yahoo.co.in,2026-02-12,Low Fat,NCJ29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,3.52,10.6,84.7224,5.0,14,7.99,Low,Good,Non-Consumable,Cash on Delivery,Delivered,10,4,Delhi
601783,Aadhya Menon,9673794871,aadhya.menon@outlook.com,2026-02-06,Low Fat,NCM42,Household,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,2.84,6.13,110.0912,5.0,14,17.96,Low,Good,Non-Consumable,Cash on Delivery,Delivered,15,4,Delhi
72496,Saanvi Joshi,9485524578,saanvi.joshi@outlook.com,2026-07-14,Low Fat,NCY42,Household,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,1.52,6.38,144.947,5.0,14,22.72,Low,Good,Non-Consumable,Wallet,Delivered,5,3,Delhi
659078,Ayaan Kumar,9715841560,ayaan.kumar@hotmail.com,2026-03-25,Low Fat,NCX54,Household,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,4.81,9.2,107.7622,5.0,14,11.71,Low,Good,Non-Consumable,Cash on Delivery,Delivered,5,1,Mumbai
225963,Anika Bhatt,9821371184,anika.bhatt@yahoo.co.in,2026-04-10,Low Fat,NCI06,Household,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,4.78,11.3,180.766,5.0,14,16.0,Low,Good,Non-Consumable,UPI,Delivered,0,2,Delhi
530528,Aditya Verma,9254768182,aditya.verma@hotmail.com,2026-02-15,Low Fat,NCQ02,Household,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,0.75,12.6,186.9556,5.0,14,14.84,Low,Good,Non-Consumable,Cash on Delivery,Returned,10,4,Bangalore
723451,Pooja Singh,9683230358,pooja.singh@gmail.com,2026-03-26,Low Fat,NCR38,Household,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,11.37,17.25,253.4724,5.0,14,14.69,Medium,Good,Non-Consumable,Cash on Delivery,Delivered,10,4,Mumbai
567549,Arjun Patel,9929880858,arjun.patel@yahoo.co.in,2026-02-20,Low Fat,NCM30,Household,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,6.74,19.1,41.9796,5.0,14,2.2,Medium,Good,Non-Consumable,UPI,Returned,5,4,Bangalore
458363,Priya Malhotra,9382521293,priya.malhotra@gmail.com,2026-05-03,Low Fat,FDK43,Meat,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,2.69,9.8,126.302,5.0,14,12.89,Low,Good,Food,Card,Delivered,10,4,Delhi
824983,Pari Gupta,9289634064,pari.gupta@hotmail.com,2026-04-07,Low Fat,FDK21,Snack Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,1.0,7.9,249.6408,5.0,14,31.6,Low,Good,Food,Card,Delivered,15,5,Delhi
339407,Saanvi Chopra,9686775240,saanvi.chopra@outlook.com,2026-05-22,Low Fat,FDR45,Snack Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,2.9,10.8,239.2222,5.0,14,22.15,Low,Good,Food,UPI,Returned,15,4,Delhi
498218,Pari Kapoor,9148439910,pari.kapoor@hotmail.com,2026-07-07,Low Fat,FDV09,Snack Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,2.06,12.1,147.5734,5.0,14,12.2,Low,Good,Food,Card,Delivered,10,3,Bangalore
624006,Anika Iyer,9622723626,anika.iyer@gmail.com,2026-04-29,Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,7.59,15.5,261.7568,5.0,14,16.89,Medium,Good,Food,Cash on Delivery,Cancelled,5,1,Mumbai
978298,Riya Sharma,9693351342,riya.sharma@yahoo.co.in,2026-03-08,Regular,FDZ47,Baking Goods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,7.94,20.7,99.8042,5.0,14,4.82,Medium,Good,Food,Cash on Delivery,Delivered,0,3,Bangalore
485198,Karan Singh,9619237245,karan.singh@hotmail.com,2026-04-30,Regular,FDO11,Breads,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,3.03,8.0,247.4092,5.0,14,30.93,Low,Good,Food,Cash on Delivery,Returned,10,2,Bangalore
389146,Karan Pillai,9018481973,karan.pillai1@yahoo.co.in,2026-04-26,Regular,FDU49,Canned,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,3.07,19.5,85.554,5.0,14,4.39,Low,Good,Food,Cash on Delivery,Delivered,15,1,Delhi
324328,Amit Iyer,9741897215,amit.iyer@outlook.com,2026-03-20,Regular,FDA02,Dairy,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,2.98,14.0,145.4786,5.0,14,10.39,Low,Good,Food,Cash on Delivery,Returned,0,4,Delhi
270494,Amit Mehta,9406417692,amit.mehta@outlook.com,2026-07-16,Regular,FDV26,Dairy,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,7.67,20.25,194.2794,5.0,14,9.59,Medium,Good,Food,UPI,Cancelled,10,4,Mumbai
842967,Vihaan Rao,9743811995,vihaan.rao@outlook.com,2026-04-04,Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,6.68,11.3,257.2962,5.0,14,22.77,Medium,Good,Food,Cash on Delivery,Cancelled,20,4,Mumbai
198499,Aadhya Patel,9376601444,aadhya.patel@yahoo.co.in,2026-07-24,Regular,FDO52,Frozen Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,7.73,11.6,172.4106,5.0,14,14.86,Medium,Good,Food,Card,Cancelled,10,3,Mumbai
742948,Kavya Sharma,9856451017,kavya.sharma@hotmail.com,2026-07-19,Regular,FDA40,Frozen Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,9.94,16.0,87.0856,5.0,14,5.44,Medium,Good,Food,UPI,Delivered,10,1,Bangalore
827710,Rahul Iyer,9397396417,rahul.iyer@yahoo.co.in,2026-07-10,Regular,FDS27,Meat,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,1.25,10.2,197.111,5.0,14,19.32,Low,Good,Food,Card,Delivered,5,3,Mumbai
265953,Anika Patel,9899698609,anika.patel@yahoo.co.in,2026-02-13,Regular,FDU15,Meat,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,2.66,13.65,37.9532,5.0,14,2.78,Low,Good,Food,Cash on Delivery,Delivered,20,5,Delhi
95831,Anika Singh,9191911359,anika.singh@hotmail.com,2026-06-30,Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,2.74,9.6,259.2304,5.0,14,27.0,Low,Good,Food,Cash on Delivery,Delivered,0,4,Delhi
612326,Pooja Rao,9966057798,pooja.rao@outlook.com,2026-07-07,Regular,FDV34,Snack Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,1.14,10.7,73.5038,5.0,14,6.87,Low,Good,Food,Wallet,Cancelled,10,3,Delhi
324834,Neha Desai,9066039205,neha.desai@outlook.com,2026-03-10,Regular,FDX46,Snack Foods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,5.82,12.3,59.1562,5.0,14,4.81,Medium,Good,Food,Wallet,Delivered,15,2,Bangalore
560708,Pari Reddy,9146074555,pari.reddy@hotmail.com,2026-06-11,Low Fat,NCA53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,0.99,11.4,50.3034,5.0,14,4.41,Low,Good,Non-Consumable,Cash on Delivery,Delivered,10,3,Mumbai
529167,Arjun Joshi,9347057423,arjun.joshi@yahoo.co.in,2026-03-29,Regular,FDT24,Baking Goods,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,18.61,12.35,78.2328,5.0,14,6.33,High,Good,Food,Card,Delivered,5,1,Mumbai
927648,Amit Patel,9885652715,amit.patel1@yahoo.co.in,2026-03-08,Regular,FDX27,Dairy,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,11.43,20.7,94.9436,5.0,14,4.59,Medium,Good,Food,UPI,Delivered,20,1,Bangalore
370160,Riya Desai,9598354116,riya.desai@outlook.com,2026-05-24,Low Fat,NCQ38,Others,1998,OUT019,Tier 1,Small,Grocery Store,2.34,13.85,108.228,5.0,28,7.81,Low,Good,Non-Consumable,Card,Delivered,10,3,Delhi
774878,Divya Sharma,9597263475,divya.sharma@gmail.com,2026-05-03,Low Fat,FDK02,Canned,1998,OUT019,Tier 1,Small,Grocery Store,19.65,12.31,120.544,5.0,28,9.79,High,Good,Food,Card,Delivered,20,4,Bangalore
480636,Pari Mehta,9575225013,pari.mehta@gmail.com,2026-04-05,Low Fat,FDI15,Dairy,1998,OUT019,Tier 1,Small,Grocery Store,24.75,13.43,263.1884,5.0,28,19.6,High,Good,Food,Card,Delivered,20,2,Mumbai
311924,Myra Sharma,9948848826,myra.sharma@gmail.com,2026-07-08,Low Fat,FDE09,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,3.78,13.22,109.7228,5.0,28,8.3,Low,Good,Food,Card,Delivered,0,2,Delhi
648539,Vihaan Joshi,9913119642,vihaan.joshi@yahoo.co.in,2026-07-21,Low Fat,FDS55,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,14.21,13.22,150.3734,5.0,28,11.37,Medium,Good,Food,UPI,Cancelled,0,1,Delhi
86756,Sneha Rao,9585626149,sneha.rao@yahoo.co.in,2026-06-17,Low Fat,FDZ56,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,4.51,13.22,167.5474,5.0,28,12.67,Low,Good,Food,Wallet,Delivered,0,5,Bangalore
133800,Ayaan Verma,9915370382,ayaan.verma1@outlook.com,2026-03-23,Low Fat,NCA05,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,4.4,13.14,148.2734,5.0,28,11.28,Low,Good,Non-Consumable,Wallet,Delivered,10,5,Delhi
546800,Ayaan Menon,9407333373,ayaan.menon@gmail.com,2026-07-20,Low Fat,NCK29,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,5.9,13.14,123.473,5.0,28,9.4,Medium,Good,Non-Consumable,UPI,Delivered,0,1,Bangalore
